show_name,show_id,season,episode_num,episode_name,original_air_date,synopsis
Family Matters,2,7,16,Tips for a Better Life,1996-02-09,Carl gets upset when Eddie starts drinking excessively. Steve transforms into Stefan and plays at a jazz club.
Family Matters,2,7,17,Swine Lake,1996-02-16,"Eddie reluctantly enrolls in ballet lessons to improve his basketball skills. When he and his girlfriend, Greta, perform a ballet with the class, Myrtle Urkel arrives and takes Greta's place."
Family Matters,2,7,18,My Big Brother,1996-02-23,"Steve becomes a mentor for a tough but charming inner-city 9-year-old, 3J, and discovers that, although smart, 3J is illiterate. At first, 3J rejects Steve's help."
Family Matters,2,7,19,Eau de love,1996-03-08,"When Steve casts a spell on Laura with a magical love potion, his lifelong quest for her may finally have a happy ending. Harriette and Carl's plans for a second honeymoon are thwarted."
Family Matters,2,7,20,Twinkle Toes Faldo,1996-03-15,Waldo enrolls in tap-dancing class to improve his agility. Carl must tell Laura some bad news about her college aspirations.
Family Matters,2,7,21,Scammed,1996-03-29,"Eddie and Waldo go to a bar where they think famous basketball players congregate, but they are astounded by the expensive bill."
Family Matters,2,7,22,Dream Date,1996-04-26,"When Laura and Steve both end up without dates for the senior prom, they decide to go with each other."
Family Matters,2,7,23,A Ham Is Born,1996-05-10,Carl lands the lead role in a movie while moonlighting as a security guard. Steve helps Richie create an artificial tornado for a science project.
Family Matters,2,7,24,Send in the Clone,1996-05-17,Steve invents a cloning machine and replicates himself. The clone causes havoc around the Winslow house until Steve explains what's going on.
Family Matters,2,8,1,Paris Vacation (1),1996-09-20,"Steve invents a device that transports himself, his clone and the Winslows to Paris, where romance blossoms for Laura, and Steve is held captive by a beautiful scientist."
Family Matters,2,8,2,Paris Vacation (2),1996-09-20,"Stefan poses as a model for a French version of Coca-Cola and decided that modeling is his career choice. He makes his successful debut in the runway show. Meanwhile, Steve is taken with Nicole to Gilbert where he learns about her cousin's intentions to get filthy rich."
Family Matters,2,8,3,Paris Vacation (3),1996-09-27,"In Paris, Steve must escape from kidnappers who want his latest invention. He and Carl lead his pursuers on a wild chase that ends with Steve hanging from the Eiffel Tower."
Family Matters,2,8,4,Movin' On,1996-10-04,"On his first day of college, Steve finds something he's never experienced before: popularity!"
Family Matters,2,8,5,3J in the House,1996-10-11,The Winslows realize their true feelings for 3J when he runs away from his group home.
Family Matters,2,8,6,Getting Buff,1996-10-18,"Steve finds himself in an uncomfortable position when Eddie's longtime girlfriend models nude for Steve's sculpting class."
Family Matters,2,8,7,Stevil,1996-10-25,"Steve's ventriloquist dummy comes to life on Halloween, wreaking havoc in the Winslow household."
Family Matters,2,8,8,Karate Kids,1996-11-01,"Steve takes a job as a playground supervisor and is threatened by some tough bullies, but Steve transforms himself, 3J and Harriette's young nephew Richie into martial arts experts."
Family Matters,2,8,9,Home Again,1996-11-08,"To mend his long-distance relationship with Laura, Stefan visits from Paris and performs in a concert with the popular singing group New Edition."
Family Matters,2,8,10,Nightmare at Urkel Oaks,1996-11-15,Eddie dreams that he is married to Steve's Southern-belle cousin.
Family Matters,2,8,11,Chick-a-Boom,1996-11-22,"Carl hosts a dinner party for his superiors. Since he cannot afford to pay a caterer, Carl hires Myra to cook."
Family Matters,2,8,12,The Jury,1996-12-06,Steve must prove a defendant innocent when he and Carl serve on a jury together.
Family Matters,2,8,13,It Came Upon a Midnight Clear,1996-12-13,"While searching for the perfect Christmas tree, Carl and Steve get stranded in a remote forest."
Family Matters,2,8,14,Revenge of the Nerd,1997-01-03,Laura is excited about joining a sorority until she learns Steve has been named the star of its annual geek party.
Family Matters,2,8,15,Love Triangles,1997-01-17,"When Steve transports Carl back in time, Carl learns a valuable lesson about priorities."
Family Matters,2,8,16,Father Time,1997-01-31,"When Laura encourages her good friend Maxine to date more, Maxine dates Curtis. Despite the fact that she is now dating Stefan, Laura is jealous."
Family Matters,2,8,17,Beauty and the Beast,1997-02-07,"Harriette serves as the chairperson for a beauty pageant and convinces Laura, Maxine, Myra and Greta to participate."
Family Matters,2,8,18,Le Jour d'amour,1997-02-14,"Steve narrates three tales of love, including Carl's attempts to 'recycle' Harriette's Valentine's Day card."
Family Matters,2,8,19,What Do You Know?,1997-02-28,"Eddie is chosen as a contestant on a television game show and given the chance to win a car, but he realizes that he is not smart enough to answer the difficult questions."
Family Matters,2,8,20,Odd Man In,1997-03-14,Carl needs one more person for his poker-playing group. Harriette joins--and beats everyone.
Family Matters,2,8,21,Flirting with Disaster,1997-03-28,"Because of Steve's frequent calamities, insurance adjuster Mr. Tolbert threatens to raise Carl's homeowner's insurance."
Family Matters,2,8,22,Pound Foolish,1997-04-25,"Steve's Aunt Oona is very fat, but when she sings in the church choir, the Reverend asks her on a date."
Family Matters,2,8,23,The Brother Who Came to Dinner,1997-05-02,"Carl's fugitive brother visits unexpectedly, and Carl's boss wants Carl to arrest his brother."
Family Matters,2,8,24,A Pirate's Life for Me,1997-05-09,Steve uses his time-travel machine to transport himself and Carl back to a pirate ship in the year 1704.
Family Matters,2,9,1,Out With the Old,1997-09-19,"When Laura asks Eddie and Stefan to participate in her sorority's kissing auction for charity, Steve feels rejected."
Family Matters,2,9,2,"They Shoot Ducks, Don't They?",1997-09-26,"After Carl forgets Steve's birthday, Carl promises to be available for Steve on the weekend. However, Commissioner Geiss, Carl's boss, invites Carl to go hunting with him."
Family Matters,2,9,3,Dumb Belle of the Ball,1997-10-03,"Steve's Southern belle cousin, Myrtle Urkel, desperately wants Eddie to escort her to her debutante ball."
Family Matters,2,9,4,Drinking and Jiving,1997-10-10,"In an effort to change her reputation as an overly responsible person, Laura goes wild at a fraternity party and gets very drunk."
Family Matters,2,9,5,Who's Afraid of the Big Black Book?,1997-10-17,"As Steve plans a surprise 21st birthday party for Eddie, Laura schemes to get revenge on Eddie for embarrassing her."
Family Matters,2,9,6,A Mind Is a Terrible Thing to Read,1997-10-24,"When one of Steve's laboratory experiments goes awry, he gains the ability to read people's minds. Initially, he is thrilled, but he soon becomes overwhelmed by everyone's thoughts"
Family Matters,2,9,7,Stevil II: This Time He's Not Alone,1997-10-31,"Last year on Halloween, Steve created a small, evil ventriloquist's dummy in his image that came to life and wreaked havoc."
Family Matters,2,9,8,Trading Places,1997-11-07,"Distraught because Laura has been aloof lately, Stefan confides his relationship woes to Steve--and learns that Laura might be interested in dating Steve instead!"
Family Matters,2,9,9,A Pain in Harassment,1997-11-28,"Harriette expects her new boss at the store to be tough. However, he is worse than she imagined, verbally abusing the entire staff."
Family Matters,2,9,10,Original Gangsta Dawg,1997-12-05,"Right before Steve goes out of town for the weekend, his cousin, O.G.D. arrives. O.G.D. is the complete opposite of Steve, with a bad reputation and a worse attitude."
Family Matters,2,9,11,Deck the Malls,1997-12-19,"Myra gets Steve a job in the local mall working in the gift-wrapping department, while Carl and Laura portray Santa Claus and Santa's helper."
Family Matters,2,9,12,Grill of My Dreams,1998-01-09,"Steve convinces Mr. Tanaka, the owner of a Japanese restaurant, to teach him how to cook Japanese food."
Family Matters,2,9,13,Breaking Up Is Hard to Do,1998-01-16,Eddie tells Carl that he wants to quit school and become a policeman. Carl explains that police work is extremely stressful and dangerous; it's not an easy career choice.
Family Matters,2,9,14,Crazy for You (1),1998-01-23,"Spurned by Steve, Myra devises an elaborate scheme to sabotage the relationship between Steve and Laura. But her plan fails, and Laura ends up kissing Steve."
Family Matters,2,9,15,Crazier for You (2),1998-01-30,"When Steve and Laura finally go on their first official date together, Myra interrupts it--dressed exactly like Laura."
Family Matters,2,9,16,Whose Man Is It Anyway?,1998-06-05,"The Winslow's foster child, 3J, yearns to know his biological parents. 3J's mother is an unmarried waitress recovering from drug addiction, but she doesn't want 3J to reunite with her yet."
Family Matters,2,9,17,Polkapalooza,1998-06-12,"Laura refuses to attend a polka festival with Steve, but when she sees how important it is to him, she dons a silly dress and accompanies him."
Family Matters,2,9,18,Throw Urkel from the Train,1998-06-18,"Laura is suspicious of Maxine's wealthy new boyfriend, D'Andre Moore"
Family Matters,2,9,19,Don't Make Me Over,1998-06-26,"Determined to force Eddie to love her, Myrtle goes shopping with Laura and Maxine. But Eddie fends off her aggressive advances."
Family Matters,2,9,20,Pop Goes the Question,1998-07-03,"Laura's ex-boyfriend, Stefan, reminds her that she promised to consider his marriage proposal someday. He gives her a beautiful diamond ring and asks her again."
Family Matters,2,9,21,Lost in Space (1),1998-07-10,"As Steve and Laura discuss wedding plans for their guest seating arraignments, NASA comes calling and tells him that he'll go into space to test his anti-gravity invention. Later on, Myra refuses to take no for an answer and sneaks aboard the shuttle to convince Steve to stay with her and give up Laura right away. Meanwhile, Harriette is overly concerned with Eddie's safety, she has him transferred to being a meter maid."
Family Matters,2,9,22,Lost in Space (2),1998-07-17,"With the space ship unable to return to Earth, it's up to Steve to save his fellow crewman by gently removing the satellite that got stuck to it's side. Once successful, he brings the crew home. Meanwhile, Myra makes one last push to get Urkel to come back to her, by pretending to be his fiancée. The plan fails and she eventually gives up on her pursuit. During that time, Carl helps Harriette understand her son's need to be a police officer, Eddie's meter maid duty takes a dangerous turn."
Perfect Strangers,3,1,1,"Knock Knock, Who's There?",1986-03-25,"Larry's job is threatened when his newly arrived cousin, Balki, helps him at the store."
Perfect Strangers,3,1,2,Picture This,1986-04-01,Larry pursues Dolly Parton for a tabloid photo. Balki learns not to be gullible.
Perfect Strangers,3,1,3,First Date,1986-04-08,"Balki wants Larry to explain how he can approach American women, but Balki seems to need no explanation."
Perfect Strangers,3,1,4,"Baby, You Can Drive My Car",1986-04-15,Larry bets Twinkie $50 that Balki can pass his driver's test.
Perfect Strangers,3,1,5,Check This,1986-04-22,"Balki is so excited about his new checking account that he spends $3,000 on furniture, but he only has $128 in the bank."
Perfect Strangers,3,1,6,"Happy Birthday, Baby",1986-04-29,Larry is given a photo assignment by a city newspaper while Balki plans a surprise party for him.
Perfect Strangers,3,2,1,Hello Baby,1986-09-17,Balki and Larry take care of a pregnant immigrant.
Perfect Strangers,3,2,2,Hunks Like Us,1986-09-24,"Larry and Balki join a health club, but they overdo it trying to impress women."
Perfect Strangers,3,2,3,The Unnatural,1986-10-01,Larry has to choose between Balki and a ringer for the baseball championship.
Perfect Strangers,3,2,4,Ladies and Germs,1986-10-15,"Larry has a date with his dream girl but winds up catching a cold. So, Balki keeps his date for him."
Perfect Strangers,3,2,5,Lifesavers,1986-10-22,Balki becomes Larry's personal servant after Larry saves his life.
Perfect Strangers,3,2,6,Babes in Babylon,1986-10-29,The guys win a trip to Las Vegas and Larry is afraid that Balki will become a compulsive gambler.
Perfect Strangers,3,2,7,Falling in Love is...,1986-11-12,Larry thinks Balki's girlfriend is using him and Balki thinks he is just jealous.
Perfect Strangers,3,2,8,Two Men and a Cradle,1986-11-19,Chaos ensues when Balki and Larry baby-sit.
Perfect Strangers,3,2,9,Can I Get a Witness?,1986-11-26,Larry is shocked when he discovers that Balki has accepted a job from a member of the Mob.
Perfect Strangers,3,2,10,The Rent Strike,1986-12-10,Larry and Balki become heroes during a rent strike.
Perfect Strangers,3,2,11,A Christmas Story,1986-12-17,A blizzard strands Larry and Balki in Chicago for the holidays.
Perfect Strangers,3,2,12,Dog Gone Blues,1987-01-07,"Breaking the lease, Balki adopts a stray dog and tries to hide him from Twinkie."
Perfect Strangers,3,2,13,Since I Lost My Baby,1987-01-14,Twinkie moves in with Larry and Balki after an argument with his wife.
Perfect Strangers,3,2,14,Trouble in Paradise,1987-01-21,Balki cooks exotic food for his two beautiful neighbors.
Perfect Strangers,3,2,15,Beautiful Dreamer,1987-01-28,Balki is suffering from insomnia and winds up falling asleep during a big sale at the shop.
Perfect Strangers,3,2,16,Tux for Two,1987-02-04,Larry thinks that Balki will embarrass him at a formal party.
Perfect Strangers,3,2,17,Ten Speed and a Soft Touch,1987-02-11,Larry thinks that his 'little brother' may have stolen his bike.
Perfect Strangers,3,2,18,Snow Way to Treat a Lady (1),1987-02-18,Larry tries to become a ski expert overnight so he can impress Jennifer on a group skiing trip. First of a two-part episode.
Perfect Strangers,3,2,19,Snow Way to Treat a Lady (2),1987-02-25,"An avalanche traps the Larry, Balki and the girls in a cabin, so they try to dig a tunnel out. Second of a two-part episode."
Perfect Strangers,3,2,20,Up on a Roof,1987-02-27,Larry and Balki get trapped on the roof.
Perfect Strangers,3,2,21,Get a Job,1987-03-05,"Twinkie refuses to give the guys a a raise, so they quit and have to take jobs at a burger joint."
Perfect Strangers,3,2,22,Hello Elaine,1987-04-01,Larry's free-spirited sister visits with dreams of becoming a musician.
Perfect Strangers,3,3,1,All the News That Fits,1987-09-22,"When both Larry and Balki get the jobs of their dreams at the Chicago Chronicle, Balki's boss tries to fire him."
Perfect Strangers,3,3,2,Weigh to Go Buddy,1987-09-29,"Larry resorts to the Myposian diet, fish-eye soup and pig snouts, in order to lose weight"
Perfect Strangers,3,3,3,Sexual Harassment in Chicago,1987-10-07,Balki must convince Larry that Balki is a victim of sexual harassment.
Perfect Strangers,3,3,4,Taking Stock,1987-10-14,Balki and Larry confront a breakfast-cereal conglomerate and discover that one man can make a difference.
Perfect Strangers,3,3,5,Better Shop Around,1987-10-21,Balki wins a shopping spree while buying groceries.
Perfect Strangers,3,3,6,Your Cheatin' Heart,1987-10-28,Larry suspects the worst when Balki and Jennifer conspire to surprise Larry with a new typewriter.
Perfect Strangers,3,3,7,The Horn Blows at Midnight,1987-11-04,A psychic makes strange predictions about Larry's future--which start to come true.
Perfect Strangers,3,3,8,Karate Kids,1987-11-11,"When Larry gets beat up in a bar fight, he and Balki take karate lessons."
Perfect Strangers,3,3,9,Night School Confidential,1987-11-18,Balki devises a plan to put a con artist out of business.
Perfect Strangers,3,3,10,Future Shock,1987-11-25,Larry dreams of life without Jennifer and decides to reveal his feelings for her.
Perfect Strangers,3,3,11,Couch Potato,1987-12-02,Balki is glued to the TV after cable is installed.
Perfect Strangers,3,3,12,The Break In,1987-12-09,"In a single evening, Larry and Balki break into the boss' office, hide on a 12th-story ledge, and save the life of a suicidal reporter."
Perfect Strangers,3,3,13,To Be or Not to Be,1988-01-06,"When Larry and Balki are chosen to appear in the Chronicle's TV commercial, Larry develops a 'star' ego."
Perfect Strangers,3,3,14,My Lips Are Sealed,1988-01-13,Larry convinces Balki that confidential information Balki obtains in the mail room must never be revealed--until it's Larry who wants to know.
Perfect Strangers,3,3,15,The Pen Pal,1988-01-27,Balki invites the racketeer that he and Larry put in jail to stay with them when he is parolled.
Perfect Strangers,3,3,16,Just Desserts,1988-02-03,"Wanting to make extra money, Larry and Balki bake Myposian pastries to sell"
Perfect Strangers,3,3,17,Pipe Dreams,1988-02-10,"Larry, instead of calling a plumber, tries to fix Jennifer's pipes himself."
Perfect Strangers,3,3,18,Bye Bye Biki,1988-02-24,Balki's Grandma Biki dies while visiting and Balki pretends that nothing unusual has happened.
Perfect Strangers,3,3,19,The Graduate,1988-03-09,"When Balki graduates first in his night-school class, he hopes for a traditional ceremony and prom."
Perfect Strangers,3,3,20,Defiant Guys,1988-03-11,Balki and Larry get handcuffed together right before Larry's lunch date with a publisher.
Perfect Strangers,3,3,21,"My Brother, Myself",1988-03-18,Larry enlists Balki to help him with his plan to impress his visiting brother.
Perfect Strangers,3,3,22,You Gotta Have Friends,1988-03-25,Larry is suspicious when Balki claims to have met Olympian Carl Lewis.
Perfect Strangers,3,4,1,The Lottery,1988-10-14,"The ever-practical Larry gives Balki a lesson in economic reality after Balki is tempted to buy a lottery ticket. But when the winning numbers are announced, Larry is shocked."
Perfect Strangers,3,4,2,Assertive Training,1988-10-21,"After Larry completes an assertiveness-training course, he hopes to convince Balki that the meek do not succeed. But Larry's plan to help Balki get the pay raise he deserves backfires."
Perfect Strangers,3,4,3,Aliens,1988-10-28,Larry watches a horror movie marathon on Halloween and the next morning he thinks that Balki has turned into an alien.
Perfect Strangers,3,4,4,Piano Movers,1988-11-04,Balki volunteers himself and Larry to move Lydia's piano up ten flights.
Perfect Strangers,3,4,5,High Society,1988-11-11,"When newspaper owner Endicott invites Larry and Balki to his palatial estate, the cousins are welcomed by the rich and famous guests who believe that Balki is the Crown Prince of Mypos."
Perfect Strangers,3,4,6,Up a Lazy River (1),1988-11-18,"Despite state-of-the-art equipment, everything goes wrong when Larry and Balki take Mary Ann and Jennifer on a camping trip."
Perfect Strangers,3,4,7,Up a Lazy River (2),1988-11-25,"Larry, Balki and the girls get lost in the wilderness during a camping trip."
Perfect Strangers,3,4,8,College Bound,1988-12-09,"While Balki takes his college entrance examinations, Larry and friends prepare a surprise party and reminisce about Balki's introduction to life in America."
Perfect Strangers,3,4,9,The Gift of the Mypiot,1988-12-16,Balki invites Mr. Gorpley to the Christmas Eve party.
Perfect Strangers,3,4,10,Maid to Order,1989-01-06,"Balki hires a maid, but she is too efficient for Larry."
Perfect Strangers,3,4,11,That Old Gang of Mine,1989-01-13,"To overcome his heartbreak over Mary Ann's move to London, Balki joins a motorcycle club--the Motor Psychos."
Perfect Strangers,3,4,12,Crimebusters,1989-01-20,"Hired as a researcher, Larry takes a shortcut to obtain a story for the paper's investigative team, a tactic which may cost him his job as well as his friendship with his new neighbor, Carl."
Perfect Strangers,3,4,13,Games People Play,1989-02-03,"When Larry and Balki compete for money and prizes on a television game show, Larry succumbs to the very temptation against which he has been cautioning Balki--greed."
Perfect Strangers,3,4,14,Come Fly with Me,1989-02-10,"Balki's spirits soar as he boards his first airplane flight, but stewardesses Jennifer and Mary Ann cannot wait to get back on solid ground after sampling Balki's Myposian lameetkas."
Perfect Strangers,3,4,15,Blind Alley,1989-02-17,"Balki substitutes for an absent player in the Chronicle's bowling league, but he may be unable to see his way to victory after a visit to the eye doctor on the day of the tournament."
Perfect Strangers,3,4,16,The King and I,1989-02-24,"A hypnotist's demonstration leaves Larry unperturbed, but it causes Balki to act, dress and sing like Elvis Presley on the day of his big tax audit."
Perfect Strangers,3,4,17,Prose and Cons,1989-03-10,Larry and Balki learn the true meaning of 'silence is deadly' when Larry refuses to reveal a source for a story and the pair go to jail.
Perfect Strangers,3,4,18,Car Wars,1989-03-17,Larry and Balki look for a used car.
Perfect Strangers,3,4,19,Just a Gigolo,1989-03-31,Larry poses as a woman in an effort to reveal a con man who is trying to take advantage of Lydia.
Perfect Strangers,3,4,20,Seven Card Studs,1989-04-14,Balki's luck is very bad when he plays in Gorpley's poker game. Larry devises a plan to recoup his cousin's losses.
Perfect Strangers,3,4,21,Teacher's Pest,1989-04-28,"Asked to teach a college course, Larry plans to mold the minds of future journalists by setting class standards high."
Perfect Strangers,3,4,22,Wedding Belle Blues,1989-05-05,"According to Myposian tradition, Balki becomes a man on his 25th birthday, an occasion that brings an unexpected visitor bearing a special gift: a wife!"
Perfect Strangers,3,5,1,Good Skates,1989-09-22,"A boastful Larry courts disaster when he tries to impress his girlfriend, Jennifer, with his roller-skating abilities in a charity skating event to raise money for the Big Brothers."
Perfect Strangers,3,5,2,Lie-Ability,1989-09-29,Larry is thrilled when he finds out that his sister Elaine has received a partial scholarship to a prestigious music school on the East Coast.
Perfect Strangers,3,5,3,The Newsletter,1989-10-06,Balki is editor of the office newsletter and Larry gives him advice on how to get the dirt.
Perfect Strangers,3,5,4,Tooth or Consequences,1989-10-13,Balki's first trip to the dentist goes haywire when he and Larry accidentally get too much laughing gas.
Perfect Strangers,3,5,5,Dog Day Mid-Afternoon,1989-10-20,Larry wants credit when he researches an investigative story on money laundering for the Chronicle. He is shocked when the article appears without his name.
Perfect Strangers,3,5,6,Poetry in Motion,1989-11-05,Larry and Balki find a secret compartment in the chimney containing clues to the works of a famous poet.
Perfect Strangers,3,5,7,Father Knows Best (1),1989-11-10,Larry is very nervous as he awaits his father's visit. He wants this visit to be perfect so he can show his dad that he can make it on his own.
Perfect Strangers,3,5,8,Father Knows Best (2),1989-11-17,"Facing death while trapped in a flooding basement with Balki and friends, Larry and his father finally express their true feelings for one another. Second of a two-part episode."
Perfect Strangers,3,5,9,Hello Ball,1989-11-24,"The gang plays golf with Jennifer's father. Larry falters on purpose to let her father win, but Balki doesn't miss a shot."
Perfect Strangers,3,5,10,Almost Live from Chicago,1989-12-01,"When opportunity knocks, Chronicle advice columnist Lydia goes running in fear. Friend and co-worker Larry is determined to rescue her from making a mistake she will surely regret."
Perfect Strangers,3,5,11,Home Movies,1989-12-08,"Balki sets out to make a home video of his life to send to his relatives in Mypos, but the project turns into a disaster when Larry appoints himself as director."
Perfect Strangers,3,5,12,Everybody in the Pool,1989-12-15,Balki has an uncanny ability to pick winners in the football pool.
Perfect Strangers,3,5,13,Because They're Cousins,1990-01-05,"Balki's identical cousin pays a visit, and lures him into an investment scam."
Perfect Strangers,3,5,14,Disorderly Orderlies,1990-01-12,Larry has promised his editor that he will get an interview with football star Hank Peterson. Larry's mission is to learn if Hank will play football another season after his knee surgery.
Perfect Strangers,3,5,15,The Selling of Mypos,1990-01-26,Balki is the negotiator for the sale of a section of Mypos and Larry tries to be his adviser.
Perfect Strangers,3,5,16,Nightmare Vacation,1990-02-02,"Larry is planning a vacation with his girlfriend, Jennifer, cousin Balki and Balki's girlfriend, Mary Anne. But the girls do not want to go."
Perfect Strangers,3,5,17,Three's a Crowd,1990-02-09,"While Larry and cousin Balki are playing a board game with their girlfriends, Jennifer and Mary Anne, an argument breaks out that threatens to destroy the girls' friendship."
Perfect Strangers,3,5,18,Blast from the Past,1990-02-16,Balki thinks that he has good news for his cousin Larry when he tells him that Marvin Berman is coming over to take them out to dinner.
Perfect Strangers,3,5,19,He's the Boss,1990-02-23,"Mr. Wainwright, the publisher of the Chicago Chronicle, goes to a publishers convention and leaves ruthless executive vice president Morgan Glover in charge of the newspaper."
Perfect Strangers,3,5,20,Here Comes the Judge,1990-03-09,"Balki Bartokomous, known by everyone as an honest and impartial individual, is named to the Chicago Chronicle's grievance committee."
Perfect Strangers,3,5,21,This Old House,1990-03-30,"Larry buys a house in bad repair in hopes of fixing it up and selling it for a profit."
Perfect Strangers,3,5,22,Eyewitless Reports,1990-04-11,"Larry and Balki, wanting to be alone with their girlfriends, Jennifer and Mary Anne, have arranged for their cabin to be isolated from the others."
Perfect Strangers,3,5,23,"Bye, Bye Birdie",1990-04-13,Balki has a new 'best friend.' He has purchased a parrot and named him Yeorgi. Balki and Yeorgi quickly become inseparable pals. They play board games and watch television together.
Perfect Strangers,3,5,24,Digging Up the News,1990-04-27,Larry is assigned by the newspaper to interview 'Uncle Shaggy' the host of a children's television show who is celebrating his tenth anniversary on the air.
Perfect Strangers,3,6,1,Safe at Home,1990-09-28,"After thieves ransack Larry and Balki's apartment, Larry has a sophisticated, high-tech security system installed."
Perfect Strangers,3,6,2,New Kid on the Block,1990-10-05,"Larry is on the verge of breaking a big story involving corruption in government. If he can file his story in time to make the morning edition, his career as a journalist will be enhanced."
Perfect Strangers,3,6,3,The Break Up,1990-10-12,"After breaking up with Larry, Jennifer begins dating an old college boyfriend."
Perfect Strangers,3,6,4,A Horse is a Horse,1990-10-19,"Larry and Balki buy a race horse and when they race him, he comes in last. They later discover that he has an incurable disease. But Balki takes the horse back to the apartment and tries a Myposian potion to cure him."
Perfect Strangers,3,6,5,Family Feud,1990-10-26,Larry finds himself caught in the middle of a 500 year old feud between Myposian families.
Perfect Strangers,3,6,6,Call Me Indestructible,1990-11-02,Larry has a mystical experience when it appears the small plane in which he is a passenger is going to crash.
Perfect Strangers,3,6,7,The Men Who Knew Too Much (1),1990-11-09,Larry and Balki run into mobster when they are sent to cover the wedding of two soap stars. First of a two-part episode.
Perfect Strangers,3,6,8,The Men Who Knew Too Much (2),1990-11-16,Larry becomes the prime suspect in a murder at the wedding of two soap stars. Second of a two-part episode.
Perfect Strangers,3,6,9,The Ring,1990-11-23,Larry buys a very large diamond engagement ring for Jennifer from a sleazy salesman. Jennifer decides to get the ring appraised in order to insure it.
Perfect Strangers,3,6,10,Black Widow,1990-11-30,"Larry reads an article about a female serial killer, the gets suspicious of Mary Anne when she plans a hiking trip alone with Balki."
Perfect Strangers,3,6,11,Sunshine Boys,1990-12-07,Larry meets a former high school classmate who used to mistreat him.
Perfect Strangers,3,6,12,Hocus Pocus,1990-12-28,"Larry doesn't want to go to the Youth Center Show where Balki is doing his magic act, until he finds out that the guest at the show is someone he has to interview. While at the show, Larry gets trapped inside of a magician's box."
Perfect Strangers,3,6,13,Finders Keepers,1991-01-04,"Larry has to go through the pockets of a corpse at a funeral in order to locate a key to a safety deposit box containing $50,000 which Balki found."
Perfect Strangers,3,6,14,Grandpa,1991-01-11,"Grandpa Appleton pays a visit, along with his much younger girlfriend."
Perfect Strangers,3,6,15,Little Apartment of Horrors,1991-01-18,"Balki's mom sends Larry a small green plant with several pods on it that she claims has medicinal value. Despite Larry's misgivings, he eats one of the pods & is instantly cured of his cold."
Perfect Strangers,3,6,16,I Saw This on TV,1991-02-01,Larry learns not to lie to Jennifer when Balki tells him what happened to Ralph Cramden when he lied to Alice on the television show 'The Honeymooners.'
Perfect Strangers,3,6,17,Speak Memory,1991-02-08,"Larry is petrified when Jennifer informs him that her mother, Mrs. Lyons, is coming to visit and wants to meet Larry at dinner."
Perfect Strangers,3,6,18,Out of Sync,1991-02-15,Balki gets discovered by a music promoter and becomes a rock star.
Perfect Strangers,3,6,19,See How They Run,1991-02-22,"When Balki decides to run for student body president at the city college he attends, Larry begs to be his campaign manager."
Perfect Strangers,3,6,20,Climb Every Billboard,1991-03-15,"While doing a promotion for their boss, Larry and Balki get stuck on a billboard with a rotating windmill."
Perfect Strangers,3,6,21,A Catered Affair,1991-03-22,"Balki starts a new catering business that does well until Larry encourages him to expand too rapidly, and he's forced to cater three parties in one night."
Perfect Strangers,3,6,22,Duck Soup,1991-04-05,"Larry and Balki go duck hunting with their boss, Mr. Wainwright, whom Larry accidentally wounds in the backside."
Perfect Strangers,3,6,23,Great Balls of Fire,1991-04-26,"Balki Bartokomous wants to donate his time as a volunteer fireman. When Larry Appleton realizes the experience would make a great 'human interest' story, he agrees to volunteer, too."
Perfect Strangers,3,6,24,See You in September,1991-05-03,Problems arise when Balki and Mary Anne persuade Larry and Jennifer to set a June wedding date.
Perfect Strangers,3,7,1,Bachelor Party,1991-09-20,"Balki has a simple bachelor party planned for Larry, but Mr. Gorpley changes that when he arrives with drinks and a stripper."
Perfect Strangers,3,7,2,The Wedding,1991-09-27,"On their way to the wedding, Larry and Balki are pulled over and then arrested when Larry backs into the patrol car."
Perfect Strangers,3,7,3,This New House,1991-10-04,Larry and Jennifer realize they can't afford the new house they just rented.
Perfect Strangers,3,7,4,Door to Door,1991-10-11,Larry and Balki take jobs selling cleaning products door-to-door.
Perfect Strangers,3,7,5,Weekend at Ferdinand's,1991-10-18,"King Ferdinand of Mypos comes to Chicago for a visit and promptly dies in Larry's arms, making Larry the new King of Mypos."
Perfect Strangers,3,7,6,Fright Night,1991-10-25,Balki and Larry battle a ghost who has taken up residence in their house.
Perfect Strangers,3,7,7,The Gazebo,1991-11-01,"Larry and Balki want to build a gazebo in the backyard, but they are hampered by their complete lack of skill."
Perfect Strangers,3,7,8,Citizenship (1),1991-11-08,Larry has Balki's mother flown in as a surprise for Balki who is about to be sworn in as a U.S. citizen. First of a two-part episode.
Perfect Strangers,3,7,9,Citizenship (2),1991-11-15,"Larry goes to Mypos to bring Balki back to America, but instead decides he wants to live in Mypos too. Second of a two-part episode."
Perfect Strangers,3,7,10,Wild Turkey,1991-11-22,Larry and Balki think that a lost wedding ring is inside of the neighbor's turkey and they try to get it back.
Perfect Strangers,3,7,11,Dimitri's World,1991-11-29,Larry and Balki clash when they collaborate on a new cartoon based on Balki's sketch of his favorite sheep.
Perfect Strangers,3,7,12,Car Tunes,1991-12-06,"Larry and Balki have an alarm put in their car, but it keeps going off all night."
Perfect Strangers,3,7,13,Two Angry Men,1992-01-03,"Balki and Larry's names are drawn for jury duty which starts the day before their pre-paid, non-refundable vacation to Bermuda begins."
